bet_number,date,season,stake_frac,pnl,bankroll
231,2024-04-27,2023,0.04033367733058136,-32.6034,775.7396
232,2024-05-05,2023,0.0,0.0,775.7396
233,2019-02-09,2018,0.04033367733058136,19.0859,794.8256
234,2019-04-21,2018,0.02493980048159615,-19.8228,775.0028
235,2019-04-24,2018,0.045070254822576795,-34.9296,740.0732
236,2019-04-28,2018,0.014979056638135134,-11.0856,728.9876
237,2019-05-05,2018,0.04880030959752322,-35.5748,693.4128
238,2019-05-12,2018,0.0,-0.0,693.4128
239,2019-09-30,2019,0.005163725113556759,-3.5806,689.8322
240,2019-10-06,2019,0.03593542680229987,-24.7894,665.0428
241,2019-10-20,2019,0.039428155162993986,-26.2214,638.8214
242,2019-11-02,2019,0.02493980048159615,-15.9321,622.8893
243,2019-11-10,2019,0.0,0.0,622.8893
244,2019-11-24,2019,0.02801857585139319,-17.4525,605.4368
245,2022-02-20,2021,0.03184050389665848,16.3858,621.8226
246,2022-02-26,2021,0.0,-0.0,621.8226
247,2022-03-06,2021,0.0,-0.0,621.8226
248,2022-03-12,2021,0.0,0.0,621.8226
249,2022-08-27,2022,0.03407991486068112,16.9533,638.776
250,2023-04-08,2022,0.0,0.0,638.776
251,2023-04-16,2022,0.04033367733058136,15.9738,654.7498
252,2023-04-27,2022,0.017242862057103542,-11.2898,643.46
253,2023-04-30,2022,0.0,0.0,643.46
254,2023-05-04,2022,0.0,-0.0,643.46
255,2023-05-07,2022,0.026864035087719302,-17.2859,626.1741
256,2023-05-13,2022,0.0,0.0,626.1741
257,2023-05-20,2022,0.041873065015479875,13.1099,639.284
258,2023-05-25,2022,0.0,0.0,639.284
259,2023-05-28,2022,0.0,0.0,639.284
260,2023-08-19,2023,0.017242862057103542,-11.0231,628.2609
261,2023-08-26,2023,0.0,0.0,628.2609
262,2023-09-03,2023,0.0,-0.0,628.2609
263,2023-09-16,2023,0.0,-0.0,628.2609
264,2023-12-17,2023,0.0,-0.0,628.2609
265,2023-12-26,2023,0.012432275541795672,12.4971,640.758
266,2017-10-01,2017,0.038409442724458204,-24.6112,616.1469
267,2021-04-11,2020,0.0024410573946177586,3.6097,619.7566
268,2017-08-19,2017,0.0,0.0,619.7566
269,2017-09-09,2017,0.0,-0.0,619.7566
270,2018-10-20,2018,0.0,-0.0,619.7566
271,2018-11-04,2018,0.0,-0.0,619.7566
272,2018-11-10,2018,0.009545923632610939,-5.9161,613.8404
273,2018-11-24,2018,0.01296678515460766,-7.9595,605.8809
274,2021-10-16,2021,0.0024410573946177586,1.9227,607.8036
275,2022-04-09,2021,0.030987394957983194,-18.8342,588.9693
276,2022-04-16,2021,0.030987394957983194,51.1018,640.0711
277,2017-12-02,2017,0.038409442724458204,-24.5848,615.4863
278,2017-12-09,2017,0.0,0.0,615.4863
279,2018-02-25,2017,0.045070254822576795,13.8701,629.3564
280,2018-03-03,2017,0.0,0.0,629.3564
281,2018-03-11,2017,0.04313256403039684,14.9302,644.2865
282,2018-11-03,2018,0.02274067521745541,21.2447,665.5312
283,2019-04-13,2018,0.0,0.0,665.5312
284,2020-01-22,2019,0.0,0.0,665.5312
285,2020-02-02,2019,0.04033367733058136,120.7949,786.3262
286,2021-01-17,2020,0.0425328025947221,20.0668,806.393
287,2021-12-05,2021,0.0,0.0,806.393
288,2022-01-23,2021,0.0,-0.0,806.393
289,2022-02-13,2021,0.0,-0.0,806.393
290,2022-02-19,2021,0.0,0.0,806.393
291,2024-04-28,2023,0.03407991486068112,-27.4818,778.9112
292,2024-05-14,2023,0.04313256403039684,-33.5964,745.3147
293,2024-05-19,2023,0.04418214654282765,10.8668,756.1815
294,2017-08-19,2017,0.0,-0.0,756.1815
295,2019-09-22,2019,0.02274067521745541,36.1118,792.2933
296,2020-07-11,2019,0.03053757388122713,22.985,815.2783
297,2021-01-31,2020,0.03492501789715412,-28.4736,786.8046
298,2021-05-19,2020,0.038409442724458204,18.1324,804.9371
299,2021-05-23,2020,0.0,0.0,804.9371
300,2021-10-24,2021,0.0024410573946177586,2.5544,807.4914
301,2021-10-31,2021,0.017242862057103542,20.189,827.6805
302,2022-09-03,2022,0.0,-0.0,827.6805
303,2022-09-18,2022,0.01926837216881212,-15.9481,811.7324
304,2022-10-24,2022,0.0,0.0,811.7324
305,2022-10-30,2022,0.0,-0.0,811.7324
306,2022-11-06,2022,0.0,-0.0,811.7324
307,2022-11-12,2022,0.0,-0.0,811.7324
308,2023-01-04,2022,0.012432275541795672,-10.0917,801.6407
309,2024-02-11,2023,0.041873065015479875,-33.5672,768.0736
310,2024-02-17,2023,0.005530129672006102,-4.2475,763.826
311,2024-02-26,2023,0.009545923632610939,10.9371,774.7632
312,2021-08-29,2021,0.038409442724458204,-29.7582,745.0049
313,2021-09-11,2021,0.026864035087719302,25.0173,770.0222
314,2021-09-18,2021,0.0,-0.0,770.0222
315,2021-09-26,2021,0.01296678515460766,17.9725,787.9947
316,2021-10-02,2021,0.0,0.0,787.9947
317,2022-09-03,2022,0.0,0.0,787.9947
318,2022-09-17,2022,0.04757785467128028,-37.4911,750.5036
319,2022-10-15,2022,0.0,0.0,750.5036
320,2022-10-29,2022,0.0,-0.0,750.5036
321,2023-08-26,2023,0.0024410573946177586,4.0304,754.5341
322,2023-09-03,2023,0.0,-0.0,754.5341
323,2023-09-16,2023,0.041873065015479875,-31.5947,722.9394
