team,signal_date,season,z_oos,z_bucket,regime,rolling_spread,mu,sigma_eq,match_date,home_team,away_team,venue,home_goals,away_goals,result,days_gap,home_odds,draw_odds,away_odds,ah_line,ah_home_odds,ah_away_odds,over_odds,under_odds,margin_1x2,margin_ah,odds_1x2,won_1x2,odds_ou,won_ou,odds_ah,pnl_mult_ah,gross_pnl_1x2,gross_pnl_ou,gross_pnl_ah
Liverpool,2020-12-27 16:30:00,2020,-2.224510578935132,Strong Short,Break,-1.207862,-0.2511,0.4301,2020-12-30,Newcastle United,Liverpool,away,0,0,D,2,12.0,6.0,1.25,1.5,2.05,1.83,1.5,2.6,0.05,0.0343,12.0,False,2.6,True,2.05,1.0,-1.0,1.6,1.0499999999999998
Liverpool,2021-01-21 20:00:00,2020,3.37315973029528,Strong Long,Normal,1.199696,-0.2511,0.4301,2021-01-28,Tottenham,Liverpool,away,1,3,A,6,3.2,3.6,2.2,0.25,1.95,1.92,1.8,2.04,0.0448,0.0337,2.2,True,1.8,True,1.92,1.0,1.2000000000000002,0.8,0.9199999999999999
Liverpool,2021-01-28 20:00:00,2020,2.970058126017205,Strong Long,Normal,1.026322,-0.2511,0.4301,2021-01-31,West Ham,Liverpool,away,1,3,A,2,4.33,4.0,1.75,0.75,1.88,1.99,1.65,2.27,0.0524,0.0344,1.75,True,1.65,True,1.99,1.0,0.75,0.6499999999999999,0.99
Liverpool,2021-01-31 16:30:00,2020,1.9180330155777725,Strong Long,Normal,0.573846,-0.2511,0.4301,2021-02-03,Liverpool,Brighton,home,0,1,A,2,1.33,5.25,9.0,-1.5,2.05,1.81,1.63,2.3,0.0535,0.0403,1.33,False,1.63,False,2.05,-1.0,-1.0,-1.0,-1.0
Liverpool,2021-02-03 20:15:00,2020,1.7892908625900954,Strong Long,Normal,0.518474,-0.2511,0.4301,2021-02-07,Liverpool,Manchester City,home,1,4,A,3,3.4,3.6,2.05,0.25,2.04,1.84,1.7,2.17,0.0597,0.0337,3.4,False,1.7,True,2.04,-1.0,-1.0,0.7,-1.0
Liverpool,2021-02-20 17:30:00,2020,1.7715694024645432,Strong Long,Normal,0.510852,-0.2511,0.4301,2021-02-28,Sheffield United,Liverpool,away,0,2,A,7,8.0,5.0,1.36,1.25,1.94,1.94,1.66,2.24,0.0603,0.0309,1.36,True,1.66,False,1.94,1.0,0.3600000000000001,-1.0,0.94
Liverpool,2021-02-28 19:15:00,2020,2.584133922343641,Strong Long,Normal,0.8603359999999999,-0.2511,0.4301,2021-03-04,Liverpool,Chelsea,home,0,1,A,3,2.25,3.6,3.0,-0.25,1.97,1.92,1.78,2.05,0.0556,0.0284,2.25,False,1.78,False,1.97,-1.0,-1.0,-1.0,-1.0
Liverpool,2021-03-04 20:15:00,2020,2.1897391304347824,Strong Long,Normal,0.6907068,-0.2511,0.4301,2021-03-07,Liverpool,Fulham,home,0,1,A,2,1.36,5.0,8.5,-1.25,1.88,2.01,1.69,2.18,0.0529,0.0294,1.36,False,1.69,False,1.88,-1.0,-1.0,-1.0,-1.0
Liverpool,2021-03-07 14:00:00,2020,2.433628458498024,Strong Long,Normal,0.7956036,-0.2511,0.4301,2021-03-15,Wolverhampton Wanderers,Liverpool,away,0,1,A,7,4.75,3.75,1.72,0.75,1.9,1.98,1.96,1.86,0.0586,0.0314,1.72,True,1.96,False,1.98,1.0,0.72,-1.0,0.98
Liverpool,2021-04-24 11:30:00,2020,1.5538014415252264,Strong Long,Normal,0.4171899999999999,-0.2511,0.4301,2021-05-08,Liverpool,Southampton,home,2,0,H,13,1.25,6.0,11.0,-1.75,2.04,1.85,1.47,2.69,0.0576,0.0307,1.25,True,1.47,False,2.04,1.0,0.25,-1.0,1.04
